40	600153	建发股份	10.94	-2.06	-0.23	13.9万	1	10.94	10.95	11.19	-2.61	0.49	1.53亿	-0.18	11.19	 交运物流	11.25	10.94	11.19	11.17	2.78	1.38	76.99	2653	11.03	8.64万	5.27万	1.64	52	129	1.28	28.4亿	310亿	28.4亿		310亿		-2.32		-5.45		1.22		2.27		
41	000001	平安银行	10.38	-1.98	-0.21	88.9万	1.74万	10.37	10.38	10.58	-18.42	0.52	9.30亿	-0.19	10.58	 银行	10.63	10.35	10.58	10.59	2.64	1.30	60.33	2.16万	10.46	55.2万	33.7万	1.64	5066	320	0.88	172亿	1782亿	172亿		1782亿		-2.17		-5.21		1.20		2.52		
42	002500	山西证券	7.45	-1.97	-0.15	19.9万	2423	7.44	7.45	7.61	-11.28	0.70	1.49亿	0.00	7.61	 券商信托	7.62	7.38	7.61	7.60	3.16	1.10	51.72	4380	7.48	12.3万	7.63万	1.61	2006	161	1.68	28.3亿	211亿	28.3亿		211亿		-2.74		-6.52		1.91		3.91		
43	600030	中信证券	18.87	-1.97	-0.38	82.2万	167	18.85	18.86	19.18	4.92	0.84	15.6亿	-0.21	19.18	 券商信托	19.27	18.76	19.18	19.25	2.65	1.19	14.42	904	19.00	48.7万	33.5万	1.45	834	157	1.51	121亿	2286亿	98.1亿		1852亿		-2.58		-4.75		2.16		4.35		
44	002422	科伦药业	33.25	-1.95	-0.66	27.1万	1686	33.25	33.26	33.93	32.93	2.62	9.33亿	0.03	33.93	 医药制造	35.88	33.15	33.93	33.91	8.05	2.27	87.22	2021	34.47	13.2万	13.9万	0.95	1211	38	3.95	14.4亿	479亿	10.3亿		343亿		-1.60		-1.69		5.17		8.41		
45	002558	巨人网络	25.67	-1.95	-0.51	5.89万	472	25.66	25.67	26.30	-30.27	1.38	1.51亿	0.04	26.30	 文教休闲	26.30	25.52	26.30	26.18	2.98	1.69	-31.20	-780	25.74	3.44万	2.45万	1.40	76	135	5.81	20.2亿	520亿	4.27亿		110亿		0.35		-4.50		3.30		5.46		
46	002180	纳思达	34.00	-1.90	-0.66	4.79万	897	33.96	34.00	34.39	15.75	0.70	1.63亿	-1.02	34.39	 电子元件	34.66	33.50	34.39	34.66	3.35	0.69	-61.63	-151	34.08	2.64万	2.15万	1.23	21	123	8.95	10.6亿	362亿	6.86亿		233亿		0.44		2.78		2.48		5.74		
47	002555	三七互娱	13.83	-1.85	-0.26	9.65万	1312	13.83	13.84	14.03	-30.09	0.83	1.35亿	0.00	14.03	 电子信息	14.16	13.80	14.03	14.09	2.56	1.03	67.28	1846	13.94	7.21万	2.44万	2.96	52	225	4.82	21.5亿	297亿	11.6亿		161亿		-3.76		-8.05		2.40		4.85		
48	600909	华安证券	6.49	-1.82	-0.12	11.0万	39	6.49	6.50	6.61	-7.84	0.41	7189万	-0.15	6.61	 券商信托	6.63	6.48	6.61	6.61	2.27	1.32	13.24	1445	6.53	7.16万	3.85万	1.86	9	2442	1.90	36.2亿	235亿	27.0亿		175亿		-2.99		-4.98		0.91		1.95		
49	601788	光大证券	11.93	-1.81	-0.22	12.3万	74	11.93	11.94	12.15	-6.40	0.31	1.47亿	0.00	12.15	 券商信托	12.22	11.80	12.15	12.15	3.46	1.92	-9.95	-156	11.99	8.55万	3.72万	2.30	51	280	1.11	46.1亿	550亿	39.1亿		466亿		-3.56		-6.65		0.63		1.13		
50	600585	海螺水泥	33.49	-1.73	-0.59	45.7万	600	33.51	33.52	34.08	15.72	1.14	15.3亿	0.09	34.08	 水泥建材	34.19	33.08	34.08	34.08	3.26	1.59	77.68	5763	33.43	27.4万	18.4万	1.49	126	49	1.89	53.0亿	1775亿	40.0亿		1340亿		-1.33		-6.77		2.11		4.73		
